Date:27.06.2025	Unit:F	CHARGE:00:00	TP:00:14	DRYe:03:26	FCs:06:54	FCe:	SCs:	SCe:	DROP:07:58	COOL:	Time:21:48
Time1	Time2	ET	BT	Event
05:24	05:24	-1.0	386.71952	
05:26	05:26	-1.0	387.3821	
05:28	05:28	-1.0	388.06448	
05:30	05:30	-1.0	388.7348	
05:32	05:32	-1.0	389.3954	
05:34	05:34	-1.0	389.79338	
05:36	05:36	-1.0	390.59474	
05:38	05:38	-1.0	390.94088	
05:40	05:40	-1.0	391.67366	
05:42	05:42	-1.0	392.06624	
05:44	05:44	-1.0	392.69552	
05:46	05:46	-1.0	393.0359	
05:48	05:48	-1.0	393.69776	
05:50	05:50	-1.0	393.9989	
05:52	05:52	-1.0	394.64024	
05:54	05:54	-1.0	395.13524	
05:56	05:56	-1.0	395.77442	
05:58	05:58	-1.0	396.38354	
06:00	06:00	-1.0	396.86504	
06:02	06:02	-1.0	397.3064	
06:04	06:04	-1.0	397.84532	
06:06	06:06	-1.0	398.62598	
06:08	06:08	-1.0	399.15842	
06:10	06:10	-1.0	399.74522	
06:12	06:12	-1.0	399.98426	
06:14	06:14	-1.0	400.63082	
06:16	06:16	-1.0	401.04536	
06:18	06:18	-1.0	401.7362	
06:20	06:20	-1.0	402.25388	
06:22	06:22	-1.0	403.0979	
06:24	06:24	-1.0	403.7441	
06:26	06:26	-1.0	404.0861	
06:28	06:28	-1.0	404.5928	
06:30	06:30	-1.0	404.88926	
06:32	06:32	-1.0	405.23756	
06:34	06:34	-1.0	405.95882	
06:36	06:36	-1.0	406.52852	
06:38	06:38	-1.0	407.11514	
06:40	06:40	-1.0	407.81624	
06:42	06:42	-1.0	408.15212	
06:44	06:44	-1.0	408.70472	
06:46	06:46	-1.0	409.01846	
06:48	06:48	-1.0	409.33706	
06:50	06:50	-1.0	409.87706	
06:52	06:52	-1.0	410.08028	
06:54	06:54	-1.0	410.6579	FCs
06:56	06:56	-1.0	411.0692	
06:58	06:58	-1.0	411.60056	
07:00	07:00	-1.0	412.05668	
07:02	07:02	-1.0	412.31156	
07:04	07:04	-1.0	412.7774	
07:06	07:06	-1.0	413.04596	
07:08	07:08	-1.0	413.51288	
07:10	07:10	-1.0	413.95568	
07:12	07:12	-1.0	414.33692	
07:14	07:14	-1.0	414.86918	
07:16	07:16	-1.0	415.0598	
07:18	07:18	-1.0	415.24466	
07:20	07:20	-1.0	415.42628	
07:22	07:22	-1.0	415.62122	
07:24	07:24	-1.0	415.92362	
07:26	07:26	-1.0	416.06294	
07:28	07:28	-1.0	416.42258	
07:30	07:30	-1.0	416.92262	
07:32	07:32	-1.0	417.15212	
07:34	07:34	-1.0	417.6176	
07:36	07:36	-1.0	417.99704	
07:38	07:38	-1.0	418.25372	
07:40	07:40	-1.0	419.01638	
07:42	07:42	-1.0	419.30294	
07:44	07:44	-1.0	419.9432	
07:46	07:46	-1.0	420.43748	
07:48	07:48	-1.0	421.0709	
07:50	07:50	-1.0	421.63934	
07:52	07:52	-1.0	422.21642	
07:54	07:54	-1.0	422.86568	
07:56	07:56	-1.0	423.27338	
07:58	07:58	-1.0	424.00076	DROP
08:00	08:00	-1.0	424.22396	
08:02	08:02	-1.0	424.68314	
08:04	08:04	-1.0	424.92308	
08:06	08:06	-1.0	424.85396	
08:08	08:08	-1.0	424.17158	
08:10	08:10	-1.0	423.2102	
08:12	08:12	-1.0	422.05154	
08:14	08:14	-1.0	420.26054	
08:16	08:16	-1.0	418.1855	
08:18	08:18	-1.0	416.057	
08:20	08:20	-1.0	413.19068	
08:22	08:22	-1.0	410.35298	
08:24	08:24	-1.0	407.69672	
08:26	08:26	-1.0	404.9429	
08:28	08:28	-1.0	401.90648	
08:30	08:30	-1.0	398.51186	
08:32	08:32	-1.0	395.00438	
08:34	08:34	-1.0	391.83062	
08:36	08:36	-1.0	388.32188	
08:38	08:38	-1.0	384.69416	
